CODDISCIPLINA;COD_PRESTAZIONE;DESCR_PRESTAZIONE;ELENCO DI ORIGINE;NOTE
36;79_70;RIDUZIONE CHIUSA DI LUSSAZIONE IN SEDE NON SPECIFICATA ;Allegato 1;
36;79_71;RIDUZIONE CHIUSA DI LUSSAZIONE DELLA SPALLA ;Allegato 1;
36;79_72;RIDUZIONE CHIUSA DI LUSSAZIONE DEL GOMITO ;Allegato 1;
36;79_73;RIDUZIONE CHIUSA DI LUSSAZIONE DEL POLSO ;Allegato 1;
36;79_74;RIDUZIONE CHIUSA DI LUSSAZIONE DELLA MANO E DELLE DITA DELLA MANO ;Allegato 1;
36;80_30;BIOPSIA DELLE STRUTTURE ARTICOLARI_SEDE NON SPECIFICATA Biopsia aspirativa;Allegato 1;
36;81_91;ARTROCENTESI Aspirazione articolare Escluso: quella per: biopsia delle strutture articolari (80_30)_iniezione di farmaci (81_92)_ artrografia (88_32);Allegato 1;
36;81_92;INIEZIONE DI SOSTANZE TERAPEUTICHE NELL ARTICOLAZIONE O NEL LEGAMENTO;Allegato 1;
36;83_02;MIOTOMIA Escluso: Miotomia cricofaringea;Allegato 1;
36;83_03;BORSOTOMIA Rimozione di deposito calcareo della borsa Escluso: Aspirazione percutanea della borsa;Allegato 1;
36;88_79_2;STUDIO ECOGRAFICO DEL BACINO Ecografia del bacino per screening lussazione congenita dell anca;Allegato 1;
36;88_79_3;ECOGRAFIA MUSCOLOTENDINEA E/O ARTICOLARE;Allegato 1;
36;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
36;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
36;93_15;MOBILIZZAZIONE DELLA COLONNA VERTEBRALE Manipolazione della colonna vertebrale per seduta Escluso: Manipolazione di articolazione temporo mandibolare;Allegato 1;
36;93_29;ALTRE CORREZIONI FORZATE DI DEFORMITA Correzione manuale di piede torto congenito;Allegato 1;
36;93_46;ALTRE TRAZIONI CUTANEE DEGLI ARTI Trazione : con nastro adesivo_a stivale_di Buck_con forcella;Allegato 1;
36;93_51;APPLICAZIONE DI CORSETTO GESSATO Escluso: Minerva gessata (93_52);Allegato 1;
36;93_52;APPLICAZIONE DI SUPPORTO PER IL COLLO Applicazione di: collare cervicale Minerva gessata supporto sagomato del collo;Allegato 1;
36;93_53;APPLICAZIONE DI ALTRO CORSETTO GESSATO Busto gessato;Allegato 1;
36;93_54_1;BENDAGGIO CON DOCCIA DI IMMOBILIZZAZIONE Antibraccio mano Gamba e piede;Allegato 1;
36;93_54_2;BENDAGGIO DESAULT AMIDATO O GESSATO ;Allegato 1;
36;93_54_3;APPARECCHIO GESSATO: TORACO BRACHIALE_COSCIA PIEDE ;Allegato 1;
36;93_54_4;APPARECCHIO GESSATO: OMERO MANO_STIVALE ;Allegato 1;
36;93_54_5;APPARECCHIO GESSATO: AVAMBRACCIO MANO ;Allegato 1;
36;93_54_6;APPARECCHIO GESSATO: GINOCCHIO ;Allegato 1;
36;93_54_7;APPARECCHIO GESSATO: POLSO_MANO_PIEDE ;Allegato 1;
36;93_54_8;DOCCIA GESSATA DI DITO DELLA MANO O DEL PIEDE Applicazione di stecca di Zimmer;Allegato 1;
36;93_56_1;FASCIATURA SEMPLICE ;Allegato 1;
36;93_56_2;BENDAGGIO ALLA COLLA DI ZINCO DI COSCIA PIEDE ;Allegato 1;
36;93_56_3;BENDAGGIO ALLA COLLA DI ZINCO DI GAMBA PIEDE ;Allegato 1;
36;93_56_4;BENDAGGIO ADESIVO ELASTICO;Allegato 1;
36;93_56_5;BENDAGGIO A 8 PER CLAVICOLA ;Allegato 1;
36;93_56_6;MEDICAZIONE DI SHANZ ;Allegato 1;
36;93_56_7;ALTRO BENDAGGIO Desault_So Bar;Allegato 1;
36;97_1;SOSTITUZIONE NON OPERATORIA DI SUSSIDIO PER IL SISTEMA MUSCOLOSCHELETRICO E TEGUMENTARIO Riparazione apparecchi gessati;Allegato 1;
36;97_88;RIMOZIONE DI DISPOSITIVO ESTERNO DI IMMOBILIZZAZIONE Rimozione di supporto_gesso_stecca;Allegato 1;
36;99_29_6;INIEZIONE MODIFICATRICE IN ASCESSO FREDDO ;Allegato 1;
37;65_11;AGOASPIRAZIONE ECO GUIDATA DEI FOLLICOLI ;Allegato 1;
37;65_11_1;Agoaspirazione ecoguidata dei follicoli (Prelievo oociti) ¿ Comprensiva di valutazione oocitaria;Allegato 1;
37;65_91;AGOASPIRAZIONE DI CISTI DELL OVAIO Aspirazione dell ovaio Eco guidata Escluso: Biopsia aspirativa dell ovaio (65_11);Allegato 1;
37;66_8;INSUFFLAZIONE DELLE TUBE Insufflazione utero tubarica Escluso: Iniezione di sostanze terapeutiche_quella per isterosalpingografia (87_83);Allegato 1;
37;67_12;BIOPSIA ENDOCERVICALE [ISTEROSCOPIA] Escluso: Conizzazione della cervice;Allegato 1;
37;67_19_1;BIOPSIA MIRATA DELLA PORTIO A GUIDA COLPOSCOPICA BIOPSIA DI UNA O PIU SEDI;Allegato 1;
37;67_32;CAUTERIZZAZIONE DEL COLLO UTERINO Elettroconizzazione della cervice_Asportazione polipi cervicali_Asportazione condilomi_ Diatermocoagulazione di erosione della portio;Allegato 1;
37;67_33;CRIOCHIRURGIA DEL COLLO UTERINO Crioconizzazione della cervice_Asportazione polipi cervicali_Asportazione condilomi;Allegato 1;
37;68_12_1;ISTEROSCOPIA Escluso: Biopsia con dilatazione del canale cervicale;Allegato 1;
37;68_16_1;BIOPSIA DEL CORPO UTERINO Biopsia endoscopica [isteroscopia] dell endometrio Escluso: Biopsia con dilatazione del canale cervicale;Allegato 1;
37;68_29_1;ASPORTAZIONE DI TUMORI BENIGNI PEDUNCOLATI DELL UTERO Asportazione polipi endometriali a guida isteroscopica_Miomectomia per via vaginale mediante torsione Escluso: Miomectomia con parcellizzazione;Allegato 1;
37;69_7;INSERZIONE DI DISPOSITIVO CONTRACCETTIVO INTRAUTERINO (I_U_D_) ;Allegato 1;
37;69_92;INSEMINAZIONE ARTIFICIALE Intracervicale e intrauterina (IAO);Allegato 1;
37;69_92_1;CAPACITAZIONE DEL MATERIALE SEMINALE ;Allegato 1;
37;69_92_2;Monitoraggio ormonale dell¿ovulazione;Allegato 1;
37;69_92_3;FECONDAZIONE IN VITRO con o senza inseminazione intracitoplasmatica (FIV/ICSI);Allegato 1;
37;69_92_4;PREPARAZIONE e VALUTAZIONE DEGLI SPERMATOZOI da TESA (Agoaspirazione Testicolare);Allegato 1;
37;69_92_5;PREPARAZIONE VALUTAZIONE DEGLI SPERMATOZOI da TESE (prelievo bioptico di tessuto testicolare);Allegato 1;
37;69_92_6;TRASFERIMENTO EMBRIONI (ET) inclusa valutazione embrionaria (escluso per via laparoscopica);Allegato 1;
37;69_92_7;CRIOCONSERVAZIONE SPERMATOZOI;Allegato 1;
37;69_92_8;CRIOCONSERVAZIONE OOCITI o TESSUTO GONADICO;Allegato 1;
37;70_11_1;IMENOTOMIA Per ematocolpo;Allegato 1;
37;70_21;COLPOSCOPIA;Allegato 1;
37;70_24;BIOPSIA DELLE PARETI VAGINALI Con eventuale puntura esplorativa;Allegato 1;
37;70_29_1;BIOPSIA DELLE PARETI VAGINALI A GUIDA COLPOSCOPICA ;Allegato 1;
37;70_33_1;ASPORTAZIONE DI CONDILOMI VAGINALI ;Allegato 1;
37;71_11;BIOPSIA DELLA VULVA O DELLA CUTE PERINEALE ;Allegato 1;
37;71_22;INCISIONE DI ASCESSO DELLA GHIANDOLA DEL BARTOLINO ;Allegato 1;
37;71_30_1;ASPORTAZIONE CONDILOMI VULVARI E PERINEALI ;Allegato 1;
37;71_90_1;ALTRI INTERVENTI SULL APPARATO GENITALE FEMMINILE Laserterapia per fatti distrofici;Allegato 1;
37;75_10_1;PRELIEVO DEI VILLI CORIALI ;Allegato 1;
37;75_10_2;AMNIOCENTESI PRECOCE ;Allegato 1;
37;75_10_3;AMNIOCENTESI TARDIVA ;Allegato 1;
37;75_33_1;FUNICOLOCENTESI CON RACCOLTA DI CELLULE STAMINALI EMOPOIETICHE ;Allegato 1;
37;75_34_1;CARDIOTOCOGRAFIA Cardiotocografia esterna in gravidanza_NST o OCT;Allegato 1;
37;75_8;TAMPONAMENTO OSTETRICO DELL UTERO O DELLA VAGINA Medicazione_Tamponamento utero cervico vaginale Tamponamento cervico vaginale a scopo emostatico;Allegato 1;
37;88_72_5;ECOCARDIOGRAMMA FETALE ;Allegato 1;
37;88_75_2;ECO(COLOR)DOPPLER DELL ADDOME INFERIORE Vescica e pelvi maschile o femminile_ Ecografia ostetrica o ginecologica con flussimetria doppler;Allegato 1;
37;88_78;ECOGRAFIA OSTETRICA ;Allegato 1;
37;88_78_A;MISURA DELLA TRANSLUCENZA NUCALE;Allegato 1;
37;88_78_1;ECOGRAFIA OVARICA Per monitoraggio ovulazione;Allegato 1;
37;88_78_2;ECOGRAFIA GINECOLOGICA ;Allegato 1;
37;88_78_3;ECOGRAFIA OSTETRICA morfologia fetale;Allegato 1;
37;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
37;89_01_1;Valutazione e certificazione periodica in età pediatrica (Bilancio di salute);Allegato 1;
37;89_26;VISITA GINECOLOGICA Visita ostetrico ginecologica/andrologica_Esame pelvico;Allegato 1;
37;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
37;93_03_3;VALUTAZIONE ALLATTAMENTO;Allegato 1;
37;93_35_1;AGOPUNTURA CON MOXA REVULSIVANTE Per seduta;Allegato 1;
37;93_37;TRAINING PRENATALE Training psico fisico per il parto naturale Intero ciclo;Allegato 1;
37;93_37_1;TRAINING POSTNATALE;Allegato 1;
37;96_17;INSERZIONE DI DIAFRAMMA VAGINALE ;Allegato 1;
37;96_18;INSERZIONE DI ALTRO PESSARIO VAGINALE ;Allegato 1;
37;97_71;RIMOZIONE DI DISPOSITIVO CONTRACCETTIVO INTRAUTERINO o INTRADERMICO sottocutaneo di progestinico;Allegato 1;
37;98_16;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALL UTERO_SENZA INCISIONE Incluso: Isteroscopia Escluso: rimozione di dispositivo contraccettivo intrauterino (97_71);Allegato 1;
37;98_17;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALLA VAGINA_SENZA INCISIONE ;Allegato 1;
37;98_23;RIMOZIONE DI CORPO ESTRANEO DALLA VULVA_SENZA INCISIONE ;Allegato 1;
38;18_02;INCISIONE DEL CANALE UDITIVO ESTERNO E DEL PADIGLIONE AURICOLARE Escluso: Rimozione di corpo estraneo intraluminale (98_11);Allegato 1;
38;18_12;BIOPSIA DELL ORECCHIO ESTERNO ;Allegato 1;
38;18_29;ASPORTAZIONE O DEMOLIZIONE DI ALTRA LESIONE DELL ORECCHIO ESTERNO CauterizzazioneCoagulazioneCriochirurgiaCurettageElettrocoagulazioneEnucleazione Asportazione di: residuo (appendice) preauricolare polipi_cisti_ _ Escluso: Biopsia dell orecchio estern;Allegato 1;
38;20_0;MIRINGOTOMIA ;Allegato 1;
38;20_31;ELETTROCOCLEOGRAFIA ;Allegato 1;
38;20_32_1;BIOPSIA DELL ORECCHIO MEDIO ;Allegato 1;
38;20_39_1;OTOEMISSIONI ACUSTICHE SOAE_TEOAE_DPOAE ;Allegato 1;
38;20_8;INTERVENTI SULLA TUBA DI EUSTACHIO Cateterismo_Insufflazione (acido borico_acido salicilico)_Intubazione_Politzerizzazione;Allegato 1;
38;21_01;CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE ANTERIORE ;Allegato 1;
38;21_02;CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE POSTERIORE (E ANTERIORE) ;Allegato 1;
38;21_03;CONTROLLO DI EPISTASSI MEDIANTE CAUTERIZZAZIONE (E TAMPONAMENTO) (Cura completa);Allegato 1;
38;21_22;BIOPSIA DEL NASO ;Allegato 1;
38;21_31;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE INTRANASALE ;Allegato 1;
38;21_71;RIDUZIONE CHIUSA DI FRATTURA NASALE NON A CIELO APERTO Incluso: Contenzione e sua rimozione;Allegato 1;
38;21_91;LISI DI ADERENZE DEL NASO Sinechia nasale;Allegato 1;
38;22_01;PUNTURA DEI SENI NASALI PER ASPIRAZIONE O LAVAGGIO Drenaggio mascellare per via diameatica;Allegato 1;
38;27_71;INCISIONE DELL UGOLA ;Allegato 1;
38;28_00_1;INCISIONE E DRENAGGIO ASCESSO PERITONSILLARE ;Allegato 1;
38;29_12;BIOPSIA FARINGEA ;Allegato 1;
38;31_42;LARINGOSCOPIA E ALTRA TRACHEOSCOPIA Laringoscopia a fibre ottiche;Allegato 1;
38;31_42_1;LARINGOSCOPIA INDIRETTA Incluso: Anestesia;Allegato 1;
38;31_42_2;LARINGOSTROBOSCOPIA ;Allegato 1;
38;31_43;BIOPSIA [ENDOSCOPICA] DELLA LARINGE In laringoscopia indiretta o con fibre ottiche Incluso: Anestesia;Allegato 1;
38;31_48_1;ESAME ELETTROGLOTTOGRAFICO ;Allegato 1;
38;31_48_2;ESAME FONETOGRAFICO ;Allegato 1;
38;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
38;89_11;TONOMETRIA ;Allegato 1;
38;89_12;STUDIO DELLA FUNZIONE NASALE Rinomanometria;Allegato 1;
38;89_39_4;GUSTOMETRIA ;Allegato 1;
38;89_39_5;ELETTROGUSTOMETRIA ;Allegato 1;
38;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
38;93_89_1;TRAINING CONDIZIONAMENTO AUDIOMETRICO INFANTILE Per seduta individuale (Ciclo di sei sedute);Allegato 1;
38;93_94;MEDICAMENTO RESPIRATORIO SOMMINISTRATO PER MEZZO DI NEBULIZZATORE Aerosolterapia Per seduta (Ciclo di dieci sedute);Allegato 1;
38;95_24_1;STUDIO DEL NISTAGMO REGISTRATO SPONTANEO O POSIZIONALE ;Allegato 1;
38;95_24_2;STUDIO DEL NISTAGMO REGISTRATO PROVOCATO ;Allegato 1;
38;95_41_1;ESAME AUDIOMETRICO TONALE ;Allegato 1;
38;95_41_2;ESAME AUDIOMETRICO VOCALE ;Allegato 1;
38;95_41_3;AUDIOMETRIA AUTOMATICA ;Allegato 1;
38;95_41_4;ESAME AUDIOMETRICO CONDIZIONATO INFANTILE ;Allegato 1;
38;95_42;IMPEDENZOMETRIA ;Allegato 1;
38;95_43;VALUTAZIONE AUDIOLOGICA Valutazione con: macchine del rumore di Barany_test ad occhi chiusi feedbak ritardato_mascheramento_lateralizzazione di Weber;Allegato 1;
38;95_44_1;TEST CLINICO DELLA FUNZIONALITA VESTIBOLARE Esame clinico con prove caloriche;Allegato 1;
38;95_44_2;ESAME CLINICO DELLA FUNZIONALITA VESTIBOLARE Test posizionali o rilievo segni spontanei;Allegato 1;
38;95_45;STIMOLAZIONI VESTIBOLARI ROTATORIE Prove rotatorie_Prove pendolari a smorzamento meccanico;Allegato 1;
38;95_46;ALTRI TEST AUDIOMETRICI O DELLA FUNZIONALITA VESTIBOLARE Prove audiometriche sopraliminari;Allegato 1;
38;95_47;ESAME DELL UDITO NAS ;Allegato 1;
38;95_48_1;MESSA A PUNTO DI MEZZI PER L UDITO Audiometria tonale protesica Audiometria vocale protesica Escluso: Impianto di strumenti elettromagnetici per l udito;Allegato 1;
38;95_48_2;CONTROLLO PROTESICO ELETTROACUSTICO ;Allegato 1;
38;95_48_3;MISURE PROTESICHE IN SITU ;Allegato 1;
38;95_48_4;TEST DI STIMOLAZIONE ELETTRICA AL PROMONTORIO ;Allegato 1;
38;95_49;ADATTAMENTO IMPIANTI COCLEARI ;Allegato 1;
38;96_52;IRRIGAZIONE DELL ORECCHIO Irrigazione con rimozione di cerume;Allegato 1;
38;98_11;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALL ORECCHIO_SENZA INCISIONE ;Allegato 1;
38;98_12;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DAL NASO_SENZA INCISIONE ;Allegato 1;
38;98_13;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALLA FARINGE_SENZA INCISIONE ;Allegato 1;
38;98_14;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALLA LARINGE_SENZA INCISIONE Incluso laringoscopia;Allegato 1;
39;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
39;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
40;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
40;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
40;94_01_1;SOMMINISTRAZIONE DI TEST DI INTELLIGENZA ;Allegato 1;
40;94_01_2;SOMMINISTRAZIONE DI TEST DI DETERIORAMENTO O SVILUPPO INTELLETTIVO M_D_B__MODA_WAIS_STANFORD BINET ;Allegato 1;
40;94_02_1;SOMMINISTRAZIONE DI TEST DELLA MEMORIA Memoria implicita_esplicita_a breve e lungo termine;Allegato 1;
40;94_02_2;TEST DELLA SCALA DI MEMORIA DI WECHSLER [WMS] ;Allegato 1;
40;94_08_1;SOMMINISTRAZIONE DI TEST DELLE FUNZIONI ESECUTIVE ;Allegato 1;
40;94_08_2;SOMMINISTRAZIONE DI TEST DELLE ABILITA VISUO SPAZIALI ;Allegato 1;
40;94_08_3;SOMMINISTRAZIONE DI TEST PROIETTIVI E DELLA PERSONALITA ;Allegato 1;
40;94_08_5;TEST DI VALUTAZIONE DELLA DISABILITA SOCIALE ;Allegato 1;
40;94_08_6;TEST DI VALUTAZIONE DEL CARICO FAMILIARE E DELLE STRATEGIE DI COPING ;Allegato 1;
40;94_09;COLLOQUIO PSICOLOGICO CLINICO;Allegato 1;
40;94_12_1;VISITA PSICHIATRICA DI CONTROLLO VISITA NEUROPSICHIATRICA INFANTILE DI CONTROLLO;Allegato 1;
40;94_19_1;COLLOQUIO PSICHIATRICO;Allegato 1;
40;94_3;PSICOTERAPIA INDIVIDUALE;Allegato 1;
40;94_42;PSICOTERAPIA FAMILIARE Per seduta;Allegato 1;
40;94_44;PSICOTERAPIA DI GRUPPO Per seduta e per partecipante;Allegato 1;
43;55_92;ASPIRAZIONE PERCUTANEA RENALE Puntura di cisti renale;Allegato 1;
43;56_31;URETEROSCOPIA Con strumento flessibile;Allegato 1;
43;57_17;CISTOSTOMIA PERCUTANEA Escluso: Rimozione di sonda cistostomica_Sostituzione di sonda cistostomica_ Cistotomia e cistostomia come approccio chirurgico;Allegato 1;
43;57_32;CISTOSCOPIA [TRANSURETRALE] Escluso: Cistoureteroscopia con biopsia ureterale_Pielografia retrograda (87_74)_ Cistoscopia per controllo postoperatorio della vescica_della prostata;Allegato 1;
43;57_33;CISTOSCOPIA [TRANSURETRALE] CON BIOPSIA ;Allegato 1;
43;57_39_1;CROMOCISTOSCOPIA ;Allegato 1;
43;57_39_2;ESAME URODINAMICO INVASIVO ;Allegato 1;
43;57_49_1;RESEZIONE TRANSURETRALE DI LESIONE VESCICALE O NEOPLASIA Elettrocoagulazione endoscopica vescicale Escluso: Biopsia transuretrale della vescica (57_33)_Fistolectomia transuretrale;Allegato 1;
43;57_94;CATETERISMO VESCICALE;Allegato 1;
43;58_22;URETROSCOPIA ;Allegato 1;
43;58_23;BIOPSIA DELL URETRA ;Allegato 1;
43;58_31;ASPORTAZIONE O ELETTROCOAGULAZIONE DI LESIONE O TESSUTO DELL URETRA Asportazione di caruncola uretrale;Allegato 1;
43;58_47;MEATOPLASTICA URETRALE ;Allegato 1;
43;58_5;URETROTOMIA ENDOSCOPICA Sezione di sfintere uretrale_meatotomia uretrale interna_uretrolisi;Allegato 1;
43;58_60_1;DILATAZIONE URETRALE Dilatazione di giuntura uretrovescicale_passaggio di sonda attraverso l uretra (Seduta unica);Allegato 1;
43;58_60_2;DILATAZIONI URETRALI PROGRESSIVE (Per seduta);Allegato 1;
43;58_60_3;RIMOZIONE [ENDOSCOPICA] DI CALCOLO URETRALE ;Allegato 1;
43;59_8;CATETERIZZAZIONE URETERALE Drenaggio del rene con catetere_inserzione di stent ureterale_ dilatazione dell orifizio ureterovescicale Escluso: Cateterizzazione per estrazione di calcolo renale_Pielografia retrograda (87_74);Allegato 1;
43;60_0;DRENAGGIO ASCESSO PROSTATICO Incisione della prostata Escluso: Drenaggio del tessuto periprostatico;Allegato 1;
43;60_11;BIOPSIA TRANSPERINEALE [PERCUTANEA] [AGOBIOPSIA] DELLA PROSTATA Approccio transperineale o transrettale;Allegato 1;
43;60_11_1;BIOPSIA TRANSPERINEALE [PERCUTANEA] [AGOBIOPSIA] DELLA PROSTATA Agobiopsia Eco guidata della prostata;Allegato 1;
43;60_13;BIOPSIA [PERCUTANEA] DELLE VESCICOLE SEMINALI ;Allegato 1;
43;60_91;ASPIRAZIONE PERCUTANEA [CITOASPIRAZIONE] DELLA PROSTATA Escluso: Agobiopsia della prostata (60_11);Allegato 1;
43;61_0;INCISIONE E DRENAGGIO DELLO SCROTO E DELLA TUNICA VAGINALE Escluso: Puntura evacuativa di idrocele (61_91);Allegato 1;
43;61_91;PUNTURA EVACUATIVA DI IDROCELE DELLA TUNICA VAGINALE Aspirazione percutanea della tunica vaginale;Allegato 1;
43;62_11;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DEL TESTICOLO ;Allegato 1;
43;62_11_1;Agoaspirazione testicolare (TESA);Allegato 1;
43;63_52;DEROTAZIONE DEL FUNICOLO E DEL TESTICOLO Manuale Escluso: quella associata ad orchidopessi;Allegato 1;
43;63_71;LEGATURA DEI DOTTI DEFERENTI ;Allegato 1;
43;64_01;CIRCONCISIONE;Allegato 1;
43;64_11;BIOPSIA DEL PENE ;Allegato 1;
43;64_19_1;BALANOSCOPIA ;Allegato 1;
43;64_92_1;FRENULOTOMIA ;Allegato 1;
43;64_93;LIBERAZIONE DI SINECHIE PENIENE ;Allegato 1;
43;88_74_5;ECO(COLOR)DOPPLER DELLE ARTERIE RENALI;Allegato 1;
43;88_75_2;ECO(COLOR)DOPPLER DELL ADDOME INFERIORE Vescica e pelvi maschile o femminile_ Ecografia ostetrica o ginecologica con flussimetria doppler;Allegato 1;
43;88_79_8;ECOGRAFIA TRANSRETTALE;Allegato 1;
43;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
43;89_22;CISTOMETROGRAFIA Cistomanometria;Allegato 1;
43;89_23;ELETTROMIOGRAFIA DELLO SFINTERE URETRALE ;Allegato 1;
43;89_24;UROFLUSSOMETRIA ;Allegato 1;
43;89_25;PROFILO PRESSORIO URETRALE ;Allegato 1;
43;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
43;93_08_4;ELETTROMIOGRAFIA DI MUSCOLI SPECIALI [Laringei_perineali] Escluso: Elettromiografia dello sfintere uretrale (89_23)_Elettromiografia dell occhio (95_25);Allegato 1;
43;96_49;INSTILLAZIONE GENITOURINARIA Instillazione di supposta prostaglandinica Instillazione di chemioterapici intravescicali;Allegato 1;
43;98_19;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALL URETRA_SENZA INCISIONE Incluso: Uretroscopia;Allegato 1;
43;98_24;RIMOZIONE DI CORPO ESTRANEO DA SCROTO E PENE_SENZA INCISIONE ;Allegato 1;
43;99_29_3;INFILTRAZIONE PERINEALE ;Allegato 1;
43;99_29_4;INFILTRAZIONE MEDICAMENTOSA DEL PENE ;Allegato 1;
43;99_29_5;INIEZIONE ENDOCAVERNOSA DI FARMACI ;Allegato 1;
43;99_29_8;INIEZIONE INTRA O PERIURETRALE ;Allegato 1;
43;99_94;MASSAGGIO PROSTATICO ;Allegato 1;
43;99_95;STIRAMENTO DEL PREPUZIO ;Allegato 1;
52;64_19_2;RICERCA DEL TREPONEMA AL PARABOLOIDE ;Allegato 1;
52;64_2;ASPORTAZIONE O DEMOLIZIONE DI LESIONE DEL PENE Asportazione condilomi Escluso: Biopsia del pene (64_11);Allegato 1;
52;70_33_1;ASPORTAZIONE DI CONDILOMI VAGINALI ;Allegato 1;
52;71_30_1;ASPORTAZIONE CONDILOMI VULVARI E PERINEALI ;Allegato 1;
52;71_90_1;ALTRI INTERVENTI SULL APPARATO GENITALE FEMMINILE Laserterapia per fatti distrofici;Allegato 1;
52;86_11;BIOPSIA DELLA CUTE E DEL TESSUTO SOTTOCUTANEO ;Allegato 1;
52;86_19_1;ELASTOMETRIA ;Allegato 1;
52;86_19_2;SEBOMETRIA ;Allegato 1;
52;86_19_3;CORNEOMETRIA ;Allegato 1;
52;86_19_4;MISURA DELLA PERDITA TRANSEPIDERMICA DI ACQUA (TEWL) ;Allegato 1;
52;86_24;CHEMIOCHIRURGIA DELLA CUTE Peeling chimico della cute;Allegato 1;
52;86_25;DERMOABRASIONE Quella con laser (o mezzo meccanico) (Per seduta) Escluso: Dermoabrasione di ferita per rimozione di frammenti inclusi (86_28);Allegato 1;
52;86_30_1;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO CUTANEO E SOTTOCUTANEO_MEDIANTE CRIOTERAPIA CON AZOTO LIQUIDO (Per seduta);Allegato 1;
52;86_30_2;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO CUTANEO E SOTTOCUTANEO_MEDIANTE CRIOTERAPIA CON NEVE CARBONICA O PROTOSSIDO DI AZOTO (Per seduta);Allegato 1;
52;86_30_3;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO CUTANEO E SOTTOCUTANEO_MEDIANTE CAUTERIZZAZIONE O FOLGORAZIONE (Per seduta);Allegato 1;
52;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
52;89_39_1;OSSERVAZIONE DERMATOLOGICA IN EPILUMINESCENZA ;Allegato 1;
52;89_39_2;OSSERVAZIONE DERMATOLOGICA IN EPIDIASCOPIA ;Allegato 1;
52;89_39_3;VALUTAZIONE DELLA SOGLIA DI SENSIBILITA VIBRATORIA ;Allegato 1;
52;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
52;91_90_1;ESAME ALLERGOLOGICO STRUMENTALE PER ORTICARIE FISICHE;Allegato 1;
52;91_90_2;INDAGINI FOTOBIOLOGICHE PER FOTODERMATOSI [FOTO PATCH TEST] ;Allegato 1;
52;91_90_3;INDAGINI FOTOBIOLOGICHE PER FOTODERMATOSI [FOTOTEST] ;Allegato 1;
52;91_90_4;SCREENING ALLERGOLOGICO PER INALANTI;Allegato 1;
52;91_90_5;TEST EPICUTANEI A LETTURA RITARDATA (PATCH TEST);Allegato 1;
52;91_90_6;TEST PERCUTANEI E INTRACUTANEI A LETTURA IMMEDIATA;Allegato 1;
52;99_82;TERAPIA A LUCE ULTRAVIOLETTA Attinoterapia Fototerapia selettiva UV (UVA_UVB) Per ciclo di sei sedute;Allegato 1;
56;81_92;INIEZIONE DI SOSTANZE TERAPEUTICHE NELL ARTICOLAZIONE O NEL LEGAMENTO;Allegato 1;
56;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
56;89_15_1;POTENZIALI EVOCATI ACUSTICI;Allegato 1;
56;89_15_2;POTENZIALI EVOCATI STIMOLO ED EVENTO CORRELATI Potenziali evocati speciali (olfattivi_trigeminali) Incluso: EEG;Allegato 1;
