CODDISCIPLINA;COD_PRESTAZIONE;DESCR_PRESTAZIONE;ELENCO DI ORIGINE;NOTE
35;23.43.3;INSERZIONE DI PROTESI PROVVISORIA  - Rimovibile o fissa - (Per elemento);Allegato 1;
35;23.49.1;ALTRA RIPARAZIONE DENTARIA - Molaggio selettivo dei denti - (Per seduta);Allegato 1;
35;23.5;IMPIANTO DI DENTE - Reimpianto di elementi dentari lussati o avulsi;Allegato 1;
35;23.6;IMPIANTO DI PROTESI DENTARIA - Impianto dentale endoosseo;Allegato 1;
35;23.71.1;TERAPIA CANALARE IN DENTE MONORADICOLATO - Trattamento o pulpotomia  - Escluso: Otturazione (23.2.1, 23.2.2);Allegato 1;
35;23.71.2;TERAPIA CANALARE IN DENTE PLURIRADICOLATO - Trattamento o pulpotomia  - Escluso: Otturazione (23.2.1, 23.2.2);Allegato 1;
35;23.73;APICECTOMIA - Incluso: Otturazione retrograda;Allegato 1;
35;24.00.1;GENGIVECTOMIA - (Per gruppo di 4 denti) - Incluso: Innesto libero o peduncolato;Allegato 1;
35;24.11;BIOPSIA DELLA GENGIVA -;Allegato 1;
35;24.12;BIOPSIA DELL'ALVEOLO -;Allegato 1;
35;24.20.1;GENGIVOPLASTICA [CHIRURGIA PARODONTALE] - Lembo di Widman modificato con levigatura radici e curettage tasche infraossee, - applicazione di osso o membrane, osteoplastica - (Per sestante);Allegato 1;
35;24.31;ASPORTAZIONE DI LESIONE O TESSUTO DELLA GENGIVA - Asportazione di epulidi  - Escluso: Biopsia della gengiva (24.11), Asportazione di lesione odontogena (24.4);Allegato 1;
35;24.39.1;LEVIGATURA DELLE RADICI  - Levigatura di radici e/o curettage delle tasche parodontali a cielo coperto - (Per sestante);Allegato 1;
35;24.39.2;INTERVENTO CHIRURGICO PREPROTESICO - (Per emiarcata);Allegato 1;
35;24.4;ASPORTAZIONE DI LESIONE DENTARIA DELLA MANDIBOLA - Asportazione di lesione odontogenica;Allegato 1;
35;24.70.1;TRATTAMENTO ORTODONTICO CON APPARECCHI MOBILI - (Per anno);Allegato 1;
35;24.70.2;TRATTAMENTO ORTODONTICO CON APPARECCHI FISSI - (Per anno);Allegato 1;
35;24.70.3;TRATTAMENTO ORTODONTICO CON APPARECCHI ORTOPEDICO FUNZIONALI - Incluso: Trattamento con placca di svincolo  - (Per anno);Allegato 1;
35;24.80.1;RIPARAZIONE DI APPARECCHIO ORTODONTICO -;Allegato 1;
35;25.01;BIOPSIA [AGOBIOPSIA] DELLA LINGUA;Allegato 1;
35;25.91;FRENULOTOMIA LINGUALE - Escluso: Frenulotomia labiale (27.91);Allegato 1;
35;25.92;FRENULECTOMIA LINGUALE - Escluso: Frenulectomia labiale (27.41);Allegato 1;
35;26.0;INCISIONE DELLE GHIANDOLE O DOTTI SALIVARI - Asportazione di calcoli del dotto salivare;Allegato 1;
35;26.11;BIOPSIA [AGOBIOPSIA] DI GHIANDOLA O DOTTO SALIVARE -;Allegato 1;
35;26.91;SPECILLAZIONE DI DOTTO SALIVARE -;Allegato 1;
35;27.21;BIOPSIA DEL PALATO OSSEO -;Allegato 1;
35;27.23;BIOPSIA DEL LABBRO -;Allegato 1;
35;27.24;BIOPSIA DELLA BOCCA, STRUTTURA NON SPECIFICATA -;Allegato 1;
35;27.41;FRENULECTOMIA LABIALE - Escluso: Sezione del frenulo labiale (27.91);Allegato 1;
35;27.49.1;ALTRA ASPORTAZIONE DI LESIONE DELLA BOCCA - Asportazione neoformazioni del cavo orale;Allegato 1;
35;27.51;SUTURA DI LACERAZIONE DEL LABBRO -;Allegato 1;
35;27.52;SUTURA DI LACERAZIONE DI ALTRA PARTE DELLA BOCCA -;Allegato 1;
35;27.91;FRENULOTOMIA LABIALE - Sezione del frenulo labiale - Escluso: Frenulotomia linguale (25.91);Allegato 1;
35;76.01;SEQUESTRECTOMIA DI OSSO FACCIALE - Rimozione di frammento osseo necrotico da osso della faccia;Allegato 1;
35;76.2;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE DELLE OSSA FACCIALI - Asportazione o marsupializzazione di cisti del mascellare;Allegato 1;
35;76.77;RIDUZIONE APERTA DI FRATTURA ALVEOLARE - Riduzione di frattura alveolare con stabilizzazione dei denti;Allegato 1;
35;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
35;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
35;96.54.1;ABLAZIONE TARTARO  -;Allegato 1;
35;96.54.2;SIGILLATURA DEI SOLCHI E DELLE FOSSETTE -;Allegato 1;
35;96.54.3;CURA STOMATITE, GENGIVITE, ALVEOLITE - Per seduta;Allegato 1;
35;97.35;RIMOZIONE DI PROTESI DENTALE - Rimozione di corona isolata, rimozione di elemento protesico;Allegato 1;
35;98.01;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALLA BOCCA,  SENZA INCISIONE -;Allegato 1;
35;99.97.1;SPLINTAGGIO PER GRUPPO DI QUATTRO DENTI -;Allegato 1;
35;99.97.2;TRATTAMENTI PER APPLICAZIONE DI PROTESI RIMOVIBILE - Ribasamento con metodo diretto o indiretto, aggiunta di elementi e/o ganci,  - riparazione di protesi fratturata, ricementazione di corona o ponte;Allegato 1;
36;04.07.1;RESEZIONE O ASPORTAZIONE DEI NERVI PERIFERICI - Curettage, sbrigliamento, resezione di nervo periferico (o di relativa lesione) - Asportazione di neuroma periferico  - Escluso: Biopsia di nervo periferico (04.11.1);Allegato 1;
36;76.93;RIDUZIONE CHIUSA DI LUSSAZIONE TEMPOROMANDIBOLARE -;Allegato 1;
36;76.96;INIEZIONE DI SOSTANZA TERAPEUTICA NELL'ARTICOLAZIONE TEMPOROMANDIBOLARE -;Allegato 1;
36;78.7;OSTEOCLASIA - Manuale o strumentale;Allegato 1;
36;79.00;RIDUZIONE CHIUSA DI FRATTURA SENZA FISSAZIONE INTERNA IN SEDE NON SPECIFICATA -;Allegato 1;
36;79.01;RIDUZIONE CHIUSA DI FRATTURA DELL'OMERO SENZA FISSAZIONE INTERNA -;Allegato 1;
36;79.02;RIDUZIONE CHIUSA DI FRATTURA DI RADIO E ULNA SENZA FISSAZIONE INTERNA - Braccio NAS;Allegato 1;
36;79.03;RIDUZIONE CHIUSA DI FRATTURA DI CARPO E METACARPO SENZA FISSAZIONE INTERNA - Mano NAS;Allegato 1;
36;79.04;RIDUZIONE CHIUSA DI FRATTURA DELLE FALANGI DELLA MANO SENZA FISSAZIONE INTERNA -;Allegato 1;
36;79.07;RIDUZIONE CHIUSA DI FRATTURA DI TARSO E METATARSO SENZA FISSAZIONE INTERNA - Piede NAS;Allegato 1;
36;79.08;RIDUZIONE CHIUSA DI FRATTURA DELLE FALANGI DEL PIEDE SENZA FISSAZIONE INTERNA -;Allegato 1;
36;79.70;RIDUZIONE CHIUSA DI LUSSAZIONE IN SEDE NON SPECIFICATA -;Allegato 1;
36;79.71;RIDUZIONE CHIUSA DI LUSSAZIONE DELLA SPALLA -;Allegato 1;
36;79.72;RIDUZIONE CHIUSA DI LUSSAZIONE DEL GOMITO -;Allegato 1;
36;79.73;RIDUZIONE CHIUSA DI LUSSAZIONE DEL POLSO -;Allegato 1;
36;79.74;RIDUZIONE CHIUSA DI LUSSAZIONE DELLA MANO E DELLE DITA DELLA MANO  -;Allegato 1;
36;80.30;BIOPSIA DELLE STRUTTURE ARTICOLARI, SEDE NON SPECIFICATA - Biopsia aspirativa;Allegato 1;
36;81.91;ARTROCENTESI - Aspirazione articolare - Escluso: quella per: biopsia delle strutture articolari (80.30), iniezione di farmaci (81.92), - artrografia (88.32);Allegato 1;
36;81.92;INIEZIONE DI SOSTANZE TERAPEUTICHE NELL'ARTICOLAZIONE O NEL LEGAMENTO;Allegato 1;
36;83.02;MIOTOMIA - Escluso: Miotomia cricofaringea;Allegato 1;
36;83.03;BORSOTOMIA - Rimozione di deposito calcareo della borsa - Escluso: Aspirazione percutanea della borsa;Allegato 1;
36;88.79.2;STUDIO ECOGRAFICO DEL BACINO - Ecografia del bacino per screening lussazione congenita dell'anca;Allegato 1;
36;88.79.3;ECOGRAFIA MUSCOLOTENDINEA E/O ARTICOLARE;Allegato 1;
36;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
36;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
36;93.15;MOBILIZZAZIONE DELLA COLONNA VERTEBRALE - Manipolazione della colonna vertebrale per seduta - Escluso: Manipolazione di articolazione temporo-mandibolare;Allegato 1;
36;93.29;ALTRE CORREZIONI FORZATE DI DEFORMITA'         Correzione manuale di piede torto congenito;Allegato 1;
36;93.46;ALTRE TRAZIONI CUTANEE DEGLI ARTI - Trazione : con nastro adesivo, a stivale, di Buck, con forcella;Allegato 1;
36;93.51;APPLICAZIONE DI CORSETTO GESSATO - Escluso: Minerva gessata (93.52);Allegato 1;
36;93.52;APPLICAZIONE DI SUPPORTO PER IL COLLO - Applicazione di: collare cervicale - Minerva gessata - supporto sagomato del collo;Allegato 1;
36;93.53;APPLICAZIONE DI ALTRO CORSETTO GESSATO - Busto gessato;Allegato 1;
36;93.54.1;BENDAGGIO CON DOCCIA DI IMMOBILIZZAZIONE - Antibraccio-mano - Gamba e piede;Allegato 1;
36;93.54.2;BENDAGGIO DESAULT AMIDATO O GESSATO -;Allegato 1;
36;93.54.3;APPARECCHIO GESSATO: TORACO-BRACHIALE, COSCIA-PIEDE -;Allegato 1;
36;93.54.4;APPARECCHIO GESSATO: OMERO-MANO, STIVALE -;Allegato 1;
36;93.54.5;APPARECCHIO GESSATO: AVAMBRACCIO-MANO -;Allegato 1;
36;93.54.6;APPARECCHIO GESSATO: GINOCCHIO -;Allegato 1;
36;93.54.7;APPARECCHIO GESSATO: POLSO, MANO, PIEDE -;Allegato 1;
36;93.54.8;DOCCIA GESSATA DI DITO DELLA MANO O DEL PIEDE - Applicazione di stecca di Zimmer;Allegato 1;
36;93.56.1;FASCIATURA SEMPLICE -;Allegato 1;
36;93.56.2;BENDAGGIO ALLA COLLA DI ZINCO DI COSCIA-PIEDE -;Allegato 1;
36;93.56.3;BENDAGGIO ALLA COLLA DI ZINCO DI GAMBA-PIEDE -;Allegato 1;
36;93.56.4;BENDAGGIO ADESIVO ELASTICO;Allegato 1;
36;93.56.5;BENDAGGIO A 8 PER CLAVICOLA -;Allegato 1;
36;93.56.6;MEDICAZIONE DI SHANZ -;Allegato 1;
36;93.56.7;ALTRO BENDAGGIO  - Desault, So-Bar;Allegato 1;
36;97.1;SOSTITUZIONE NON OPERATORIA DI SUSSIDIO PER IL SISTEMA  MUSCOLOSCHELETRICO E TEGUMENTARIO            Riparazione apparecchi gessati;Allegato 1;
36;97.88;RIMOZIONE DI DISPOSITIVO ESTERNO DI IMMOBILIZZAZIONE - Rimozione di supporto, gesso, stecca;Allegato 1;
36;99.29.6;INIEZIONE MODIFICATRICE IN ASCESSO FREDDO -;Allegato 1;
37;65.11;AGOASPIRAZIONE ECO-GUIDATA DEI FOLLICOLI -;Allegato 1;
37;65.11.1;Agoaspirazione ecoguidata dei follicoli (Prelievo oociti) ¿ Comprensiva di valutazione oocitaria;Allegato 1;
37;65.91;AGOASPIRAZIONE DI CISTI DELL' OVAIO - Aspirazione dell' ovaio Eco-guidata  - Escluso: Biopsia aspirativa dell' ovaio (65.11);Allegato 1;
37;66.8;INSUFFLAZIONE DELLE TUBE - Insufflazione utero-tubarica - Escluso: Iniezione di sostanze terapeutiche, quella per isterosalpingografia (87.83);Allegato 1;
37;67.12;BIOPSIA ENDOCERVICALE [ISTEROSCOPIA] - Escluso: Conizzazione della cervice;Allegato 1;
37;67.19.1;BIOPSIA MIRATA DELLA PORTIO A GUIDA COLPOSCOPICA - BIOPSIA DI UNA O PIU' SEDI;Allegato 1;
37;67.32;CAUTERIZZAZIONE DEL COLLO UTERINO - Elettroconizzazione della cervice, Asportazione polipi cervicali, Asportazione condilomi, - Diatermocoagulazione di erosione della portio;Allegato 1;
37;67.33;CRIOCHIRURGIA DEL COLLO UTERINO - Crioconizzazione della cervice, Asportazione polipi cervicali, Asportazione condilomi;Allegato 1;
37;68.12.1;ISTEROSCOPIA - Escluso: Biopsia con dilatazione del canale cervicale;Allegato 1;
37;68.16.1;BIOPSIA DEL CORPO UTERINO - Biopsia endoscopica [isteroscopia] dell' endometrio - Escluso: Biopsia con dilatazione del canale cervicale;Allegato 1;
37;68.29.1;ASPORTAZIONE DI TUMORI BENIGNI PEDUNCOLATI DELL' UTERO - Asportazione polipi endometriali a guida isteroscopica, Miomectomia   - per via vaginale mediante torsione - Escluso: Miomectomia con parcellizzazione;Allegato 1;
37;69.7;INSERZIONE DI DISPOSITIVO CONTRACCETTIVO INTRAUTERINO (I.U.D.) -;Allegato 1;
37;69.92;INSEMINAZIONE ARTIFICIALE - Intracervicale e intrauterina (IAO);Allegato 1;
37;69.92.1;CAPACITAZIONE DEL MATERIALE SEMINALE -;Allegato 1;
37;69.92.2;Monitoraggio ormonale dell¿ovulazione;Allegato 1;
37;69.92.3;FECONDAZIONE IN VITRO con o senza inseminazione intracitoplasmatica (FIV/ICSI);Allegato 1;
37;69.92.4;PREPARAZIONE  e VALUTAZIONE DEGLI SPERMATOZOI da TESA (Agoaspirazione  Testicolare);Allegato 1;
37;69.92.5;PREPARAZIONE VALUTAZIONE DEGLI SPERMATOZOI da TESE (prelievo bioptico di tessuto testicolare);Allegato 1;
37;69.92.6;TRASFERIMENTO EMBRIONI (ET) inclusa valutazione embrionaria (escluso per via laparoscopica);Allegato 1;
37;69.92.7;CRIOCONSERVAZIONE SPERMATOZOI;Allegato 1;
37;69.92.8;CRIOCONSERVAZIONE OOCITI o TESSUTO GONADICO;Allegato 1;
37;70.11.1;IMENOTOMIA - Per ematocolpo;Allegato 1;
37;70.21;COLPOSCOPIA;Allegato 1;
37;70.24;BIOPSIA DELLE PARETI VAGINALI - Con eventuale puntura esplorativa;Allegato 1;
37;70.29.1;BIOPSIA DELLE PARETI VAGINALI A GUIDA COLPOSCOPICA -;Allegato 1;
37;70.33.1;ASPORTAZIONE DI CONDILOMI VAGINALI -;Allegato 1;
37;71.11;BIOPSIA DELLA VULVA O DELLA CUTE PERINEALE -;Allegato 1;
37;71.22;INCISIONE DI ASCESSO DELLA GHIANDOLA DEL BARTOLINO -;Allegato 1;
37;71.30.1;ASPORTAZIONE CONDILOMI VULVARI E  PERINEALI -;Allegato 1;
37;71.90.1;ALTRI INTERVENTI SULL' APPARATO GENITALE FEMMINILE -  Laserterapia per fatti distrofici;Allegato 1;
37;75.10.1;PRELIEVO DEI VILLI CORIALI -;Allegato 1;
37;75.10.2;AMNIOCENTESI PRECOCE -;Allegato 1;
37;75.10.3;AMNIOCENTESI TARDIVA -;Allegato 1;
37;75.33.1;FUNICOLOCENTESI CON RACCOLTA DI CELLULE STAMINALI EMOPOIETICHE  -;Allegato 1;
37;75.34.1;CARDIOTOCOGRAFIA - Cardiotocografia esterna in gravidanza, NST o OCT;Allegato 1;
37;75.8;TAMPONAMENTO OSTETRICO DELL' UTERO O DELLA VAGINA - Medicazione, Tamponamento utero-cervico-vaginale - Tamponamento cervico -vaginale a scopo emostatico;Allegato 1;
37;88.72.5;ECOCARDIOGRAMMA FETALE -;Allegato 1;
37;88.75.2;ECO(COLOR)DOPPLER DELL'ADDOME INFERIORE  Vescica e pelvi maschile o femminile, - Ecografia ostetrica o ginecologica con flussimetria doppler;Allegato 1;
37;88.78;ECOGRAFIA OSTETRICA -;Allegato 1;
37;88.78.A;MISURA DELLA TRANSLUCENZA NUCALE;Allegato 1;
37;88.78.1;ECOGRAFIA OVARICA - Per monitoraggio ovulazione;Allegato 1;
37;88.78.2;ECOGRAFIA GINECOLOGICA -;Allegato 1;
37;88.78.3;ECOGRAFIA OSTETRICA - morfologia fetale;Allegato 1;
37;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
37;89.01.1;Valutazione e certificazione periodica in età pediatrica (Bilancio di salute);Allegato 1;
37;89.26;VISITA GINECOLOGICA - Visita  ostetrico-ginecologica/andrologica, Esame pelvico;Allegato 1;
37;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
37;93.03.3;VALUTAZIONE ALLATTAMENTO;Allegato 1;
37;93.35.1;AGOPUNTURA CON MOXA  REVULSIVANTE                                          Per seduta;Allegato 1;
37;93.37;TRAINING  PRENATALE                                                                  Training psico-fisico per il parto naturale   Intero ciclo;Allegato 1;
37;93.37.1;TRAINING POSTNATALE;Allegato 1;
37;96.17;INSERZIONE DI DIAFRAMMA VAGINALE -;Allegato 1;
37;96.18;INSERZIONE DI ALTRO PESSARIO VAGINALE -;Allegato 1;
37;97.71;RIMOZIONE DI DISPOSITIVO CONTRACCETTIVO INTRAUTERINO o INTRADERMICO sottocutaneo di progestinico;Allegato 1;
37;98.16;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALL'UTERO, SENZA INCISIONE - Incluso: Isteroscopia - Escluso: rimozione di dispositivo contraccettivo intrauterino (97.71);Allegato 1;
37;98.17;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALLA VAGINA, SENZA INCISIONE  -;Allegato 1;
37;98.23;RIMOZIONE DI CORPO ESTRANEO DALLA VULVA, SENZA INCISIONE -;Allegato 1;
38;18.02;INCISIONE DEL CANALE UDITIVO ESTERNO E DEL PADIGLIONE AURICOLARE - Escluso: Rimozione di corpo estraneo intraluminale (98.11);Allegato 1;
38;18.12;BIOPSIA DELL'ORECCHIO ESTERNO -;Allegato 1;
38;18.29;ASPORTAZIONE O DEMOLIZIONE DI ALTRA LESIONE DELL'ORECCHIO ESTERNO - CauterizzazioneCoagulazioneCriochirurgiaCurettageElettrocoagulazioneEnucleazione Asportazione di:  residuo (appendice) preauricolare polipi, cisti.-. Escluso: Biopsia dell'orecchio estern;Allegato 1;
38;20.0;MIRINGOTOMIA -;Allegato 1;
38;20.31;ELETTROCOCLEOGRAFIA -;Allegato 1;
38;20.32.1;BIOPSIA DELL'ORECCHIO MEDIO -;Allegato 1;
38;20.39.1;OTOEMISSIONI ACUSTICHE 'SOAE, TEOAE, DPOAE -;Allegato 1;
38;20.8;INTERVENTI SULLA TUBA DI EUSTACHIO - Cateterismo, Insufflazione (acido borico, acido salicilico), Intubazione, Politzerizzazione;Allegato 1;
38;21.01;CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE ANTERIORE -;Allegato 1;
38;21.02;CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE POSTERIORE (E ANTERIORE) -;Allegato 1;
38;21.03;CONTROLLO DI EPISTASSI MEDIANTE CAUTERIZZAZIONE (E TAMPONAMENTO) - (Cura completa);Allegato 1;
38;21.22;BIOPSIA DEL NASO -;Allegato 1;
38;21.31;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE INTRANASALE -;Allegato 1;
38;21.71;RIDUZIONE CHIUSA DI FRATTURA NASALE NON A CIELO APERTO - Incluso: Contenzione e sua rimozione;Allegato 1;
38;21.91;LISI DI ADERENZE DEL NASO - Sinechia nasale;Allegato 1;
38;22.01;PUNTURA DEI SENI NASALI PER ASPIRAZIONE O LAVAGGIO - Drenaggio mascellare per via diameatica;Allegato 1;
38;27.71;INCISIONE DELL' UGOLA -;Allegato 1;
38;28.00.1;INCISIONE E DRENAGGIO ASCESSO PERITONSILLARE -;Allegato 1;
38;29.12;BIOPSIA FARINGEA -;Allegato 1;
38;31.42;LARINGOSCOPIA E ALTRA TRACHEOSCOPIA - Laringoscopia a fibre ottiche;Allegato 1;
38;31.42.1;LARINGOSCOPIA INDIRETTA - Incluso: Anestesia;Allegato 1;
38;31.42.2;LARINGOSTROBOSCOPIA -;Allegato 1;
38;31.43;BIOPSIA [ENDOSCOPICA] DELLA LARINGE - In laringoscopia indiretta o con fibre ottiche - Incluso: Anestesia;Allegato 1;
38;31.48.1;ESAME ELETTROGLOTTOGRAFICO -;Allegato 1;
38;31.48.2;ESAME FONETOGRAFICO -;Allegato 1;
38;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
38;89.11;TONOMETRIA -;Allegato 1;
38;89.12;STUDIO DELLA FUNZIONE NASALE - Rinomanometria;Allegato 1;
38;89.39.4;GUSTOMETRIA -;Allegato 1;
38;89.39.5;ELETTROGUSTOMETRIA -;Allegato 1;
38;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
38;93.89.1;TRAINING CONDIZIONAMENTO AUDIOMETRICO INFANTILE - Per seduta individuale (Ciclo di sei sedute);Allegato 1;
38;93.94;MEDICAMENTO RESPIRATORIO SOMMINISTRATO PER MEZZO DI NEBULIZZATORE - Aerosolterapia - Per seduta  (Ciclo di dieci sedute);Allegato 1;
38;95.24.1;STUDIO DEL NISTAGMO REGISTRATO SPONTANEO O POSIZIONALE -;Allegato 1;
38;95.24.2;STUDIO DEL NISTAGMO REGISTRATO PROVOCATO -;Allegato 1;
38;95.41.1;ESAME AUDIOMETRICO TONALE -;Allegato 1;
38;95.41.2;ESAME AUDIOMETRICO VOCALE -;Allegato 1;
38;95.41.3;AUDIOMETRIA AUTOMATICA -;Allegato 1;
38;95.41.4;ESAME AUDIOMETRICO CONDIZIONATO INFANTILE -;Allegato 1;
38;95.42;IMPEDENZOMETRIA -;Allegato 1;
38;95.43;VALUTAZIONE AUDIOLOGICA - Valutazione con: macchine del rumore di Barany, test ad occhi chiusi - feedbak ritardato, mascheramento, lateralizzazione di Weber;Allegato 1;
38;95.44.1;TEST CLINICO DELLA FUNZIONALITA' VESTIBOLARE - Esame clinico con prove caloriche;Allegato 1;
38;95.44.2;ESAME CLINICO DELLA FUNZIONALITA' VESTIBOLARE - Test posizionali o rilievo segni spontanei;Allegato 1;
38;95.45;STIMOLAZIONI VESTIBOLARI ROTATORIE -  Prove rotatorie, Prove pendolari a smorzamento meccanico;Allegato 1;
38;95.46;ALTRI TEST AUDIOMETRICI O DELLA FUNZIONALITA' VESTIBOLARE - Prove audiometriche sopraliminari;Allegato 1;
38;95.47;ESAME DELL' UDITO NAS -;Allegato 1;
38;95.48.1;MESSA A PUNTO DI MEZZI PER L'UDITO - Audiometria tonale protesica - Audiometria vocale protesica - Escluso: Impianto di strumenti elettromagnetici per l'udito;Allegato 1;
38;95.48.2;CONTROLLO PROTESICO ELETTROACUSTICO -;Allegato 1;
38;95.48.3;MISURE PROTESICHE IN SITU -;Allegato 1;
38;95.48.4;TEST DI STIMOLAZIONE ELETTRICA AL PROMONTORIO -;Allegato 1;
38;95.49;ADATTAMENTO IMPIANTI COCLEARI -;Allegato 1;
38;96.52;IRRIGAZIONE DELL'ORECCHIO - Irrigazione con rimozione di cerume;Allegato 1;
38;98.11;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALL'ORECCHIO, SENZA INCISIONE -;Allegato 1;
38;98.12;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DAL NASO, SENZA INCISIONE -;Allegato 1;
38;98.13;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALLA  FARINGE, SENZA INCISIONE -;Allegato 1;
38;98.14;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DALLA LARINGE, SENZA INCISIONE - Incluso laringoscopia;Allegato 1;
39;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
39;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
40;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
40;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
40;94.01.1;SOMMINISTRAZIONE DI TEST DI INTELLIGENZA -;Allegato 1;
40;94.01.2;SOMMINISTRAZIONE DI TEST DI DETERIORAMENTO O SVILUPPO INTELLETTIVO M.D.B., MODA, WAIS, STANFORD  BINET -;Allegato 1;
40;94.02.1;SOMMINISTRAZIONE DI TEST DELLA MEMORIA - Memoria implicita, esplicita, a breve e lungo termine;Allegato 1;
40;94.02.2;TEST DELLA SCALA DI MEMORIA DI WECHSLER [WMS] -;Allegato 1;
40;94.08.1;SOMMINISTRAZIONE DI TEST DELLE FUNZIONI ESECUTIVE  -;Allegato 1;
40;94.08.2;SOMMINISTRAZIONE DI TEST DELLE  ABILITA' VISUO SPAZIALI -;Allegato 1;
40;94.08.3;SOMMINISTRAZIONE DI TEST PROIETTIVI E DELLA PERSONALITA' -;Allegato 1;
40;94.08.5;TEST DI VALUTAZIONE DELLA DISABILITA' SOCIALE -;Allegato 1;
40;94.08.6;TEST DI VALUTAZIONE DEL CARICO FAMILIARE E DELLE STRATEGIE DI COPING -;Allegato 1;
40;94.09;COLLOQUIO PSICOLOGICO CLINICO;Allegato 1;
40;94.12.1;VISITA PSICHIATRICA DI CONTROLLO - VISITA NEUROPSICHIATRICA INFANTILE DI CONTROLLO;Allegato 1;
40;94.19.1;COLLOQUIO PSICHIATRICO;Allegato 1;
40;94.3;PSICOTERAPIA INDIVIDUALE;Allegato 1;
40;94.42;PSICOTERAPIA FAMILIARE - Per seduta;Allegato 1;
40;94.44;PSICOTERAPIA DI GRUPPO - Per seduta e per partecipante;Allegato 1;
43;55.92;ASPIRAZIONE PERCUTANEA RENALE - Puntura di cisti renale;Allegato 1;
43;56.31;URETEROSCOPIA - Con strumento flessibile;Allegato 1;
43;57.17;CISTOSTOMIA PERCUTANEA - Escluso: Rimozione di sonda cistostomica, Sostituzione di sonda cistostomica, - Cistotomia e cistostomia come approccio chirurgico;Allegato 1;
43;57.32;CISTOSCOPIA [TRANSURETRALE] - Escluso: Cistoureteroscopia con biopsia ureterale, Pielografia retrograda (87.74),  - Cistoscopia per controllo postoperatorio della vescica, della prostata;Allegato 1;
43;57.33;CISTOSCOPIA [TRANSURETRALE] CON BIOPSIA -;Allegato 1;
43;57.39.1;CROMOCISTOSCOPIA -;Allegato 1;
43;57.39.2;ESAME URODINAMICO INVASIVO -;Allegato 1;
43;57.49.1;RESEZIONE TRANSURETRALE DI LESIONE VESCICALE O NEOPLASIA - Elettrocoagulazione endoscopica vescicale - Escluso: Biopsia transuretrale della vescica (57.33), Fistolectomia transuretrale;Allegato 1;
43;57.94;CATETERISMO VESCICALE;Allegato 1;
43;58.22;URETROSCOPIA -;Allegato 1;
43;58.23;BIOPSIA DELL' URETRA -;Allegato 1;
43;58.31;ASPORTAZIONE O  ELETTROCOAGULAZIONE DI LESIONE O TESSUTO DELL'URETRA - Asportazione di caruncola uretrale;Allegato 1;
43;58.47;MEATOPLASTICA URETRALE -;Allegato 1;
43;58.5;URETROTOMIA ENDOSCOPICA - Sezione di sfintere uretrale, meatotomia uretrale interna, uretrolisi;Allegato 1;
43;58.60.1;DILATAZIONE URETRALE - Dilatazione di giuntura uretrovescicale, passaggio di sonda attraverso l'uretra  - (Seduta unica);Allegato 1;
43;58.60.2;DILATAZIONI URETRALI PROGRESSIVE - (Per seduta);Allegato 1;
43;58.60.3;RIMOZIONE [ENDOSCOPICA] DI CALCOLO URETRALE  -;Allegato 1;
43;59.8;CATETERIZZAZIONE URETERALE - Drenaggio del rene con catetere, inserzione di  stent ureterale, - dilatazione dell'orifizio ureterovescicale - Escluso: Cateterizzazione per estrazione di calcolo renale, Pielografia retrograda (87.74);Allegato 1;
